IntDstIP,IntSrcIP,totalDestinationBytes,totalDestinationPackets,totalSourcesPackets,direction,totalSourceBytes,protocolName,sourcePort,destinationPort,label
3232236402,3232236144,64,1,1,1,64,1,52707,1042,0
3232236403,3232236144,192,3,3,1,192,1,52707,1300,0
3232236402,3232236144,192,3,3,1,192,1,52707,10566,0
3232236405,3232236144,256,4,4,1,256,1,52707,2190,0
3232236405,3232236144,128,2,2,1,128,1,52707,7512,0
3232236402,3232236144,320,5,5,1,320,1,52707,27353,0
3232236403,3232236144,128,2,2,1,128,1,52707,5910,0
3232236403,3232236144,192,3,3,1,192,1,52707,903,0
3232236403,3232236144,64,1,1,1,66,1,1920,4444,0
3232236402,3232236144,192,3,3,1,192,1,52707,2608,0
3232236402,3232236144,320,5,5,1,320,1,52707,8042,0
3232236405,3232236144,64,1,1,1,64,1,52707,5200,0
3232236405,3232236144,64,1,1,1,66,1,1938,4444,0
3232236405,3232236144,256,4,4,1,256,1,52707,4848,0
3232236405,3232236144,64,1,1,1,64,1,52707,8021,0
3232236403,3232236144,192,3,3,1,192,1,52707,10025,0
3232236403,3232236144,64,1,1,1,66,1,1920,4444,0
3232236405,3232236144,256,4,4,1,256,1,52707,5298,0
3232236403,3232236144,192,3,3,1,192,1,52707,8099,0
3232236403,3232236144,64,1,1,1,64,1,52707,2601,0
3232236402,3232236144,320,5,5,1,320,1,52707,700,0
3232236405,3232236144,256,4,4,1,256,1,52707,4550,0
3232236403,3232236144,128,2,2,1,128,1,52707,280,0
3232236402,3232236144,192,3,3,1,192,1,52707,2000,0
3232236403,3232236144,128,2,2,1,128,1,52707,5989,0
3232236405,3232236144,192,3,3,1,192,1,52707,2047,0
3232236402,3232236144,192,3,3,1,192,1,52707,1233,0
3232236403,3232236144,128,2,2,1,128,1,52707,6101,0
3232236405,3232236144,320,5,5,1,320,1,52707,2717,0
3232236402,3232236144,128,2,2,1,128,1,52707,1055,0
3232236403,3232236144,128,2,2,1,128,1,52707,5987,0
3232236405,3232236144,256,4,4,1,256,1,52707,1131,0
3232236403,3232236144,192,3,3,1,192,1,52707,5357,0
3232236403,3232236144,256,4,4,1,256,1,52707,4848,0
3232236403,3232236144,192,3,3,1,192,1,52707,3269,0
3232236402,3232236144,128,2,2,1,128,1,52707,10012,0
3232236403,3232236144,128,2,2,1,128,1,52707,1021,0
3232236405,3232236144,320,5,5,1,320,1,52707,5998,0
3232236405,3232236144,192,3,3,1,192,1,52707,1271,0
3232236403,3232236144,128,2,2,1,128,1,52707,3551,0
3232236402,3232236144,256,4,4,1,256,1,52707,2179,0
3232236405,3232236144,128,2,2,1,128,1,52707,4045,0
3232236402,3232236144,256,4,4,1,256,1,52707,3920,0
3232236403,3232236144,192,3,3,1,192,1,52707,1721,0
3232236403,3232236144,320,5,5,1,320,1,52707,49159,0
3232236402,3232236144,256,4,4,1,256,1,52707,3871,0
3232236403,3232236144,192,3,3,1,192,1,52707,5030,0
3232236405,3232236144,64,1,2,1,132,1,1930,4444,0
3232236403,3232236144,256,4,4,1,256,1,52707,2998,0
3232236405,3232236144,256,4,4,1,256,1,52707,7741,0
3232236403,3232236144,192,3,3,1,192,1,52707,11110,0
3232236403,3232236144,256,4,4,1,256,1,52707,51493,0
3232236405,3232236144,320,5,5,1,320,1,52707,1322,0
3232236402,3232236144,192,3,3,1,192,1,52707,1700,0
3232236405,3232236144,256,4,4,1,256,1,52707,8081,0
3232236403,3232236144,320,5,5,1,320,1,52707,1166,0
3232236403,3232236144,128,2,2,1,128,1,52707,406,0
3232236403,3232236144,192,3,3,1,192,1,52707,7800,0
3232236402,3232236144,192,3,3,1,192,1,52707,5802,0
3232236403,3232236144,256,4,4,1,256,1,52707,1032,0
3232235877,3232236144,64,1,1,1,66,1,1968,4444,0
3232236402,3232236144,256,4,4,1,256,1,52707,63331,0
3232236403,3232236144,256,4,4,1,256,1,52707,5800,0
3232236405,3232236144,128,2,2,1,128,1,52707,668,0
3232236145,3232236144,64,1,1,1,66,1,1906,4444,0
3232236402,3232236144,128,2,2,1,128,1,52707,5510,0
3232236403,3232236144,256,4,4,1,256,1,52707,5054,0
3232236405,3232236144,192,3,3,1,192,1,52707,44443,0
3232236289,3232236144,0,0,3,1,192,1,52707,1117,0
3232236405,3232236144,128,2,2,1,128,1,52707,1310,0
3232236145,3232236144,64,1,1,1,66,1,1907,4444,0
3232236402,3232236144,192,3,3,1,192,1,52707,8654,0
3232236405,3232236144,128,2,2,1,128,1,52707,20222,0
3232236402,3232236144,256,4,4,1,256,1,52707,34571,0
3232236402,3232236144,192,3,3,1,192,1,52707,40193,0
3232236402,3232236144,64,1,1,1,64,1,52707,49999,0
3232236402,3232236144,64,1,1,1,64,1,52707,1046,0
2211115860,3232236144,0,0,15,0,990,1,2130,5555,0
3232236405,3232236144,128,2,2,1,128,1,52707,340,0
3232236405,3232236144,256,4,4,1,256,1,52707,2920,0
3232236403,3232236144,192,3,3,1,192,1,52707,8649,0
3232236405,3232236144,192,3,3,1,192,1,52707,5560,0
3232236403,3232236144,128,2,2,1,128,1,52707,1461,0
3232236403,3232236144,256,4,4,1,256,1,52707,1049,0
3232236403,3232236144,64,1,1,1,64,1,52707,8888,0
3232236403,3232236144,320,5,5,1,320,1,52707,50003,0
3232236405,3232236144,64,1,1,1,66,1,1941,4444,0
3232236403,3232236144,192,3,3,1,192,1,52707,5802,0
3232236405,3232236144,64,1,1,1,64,1,52707,1091,0
3232236405,3232236144,64,1,1,1,66,1,1939,4444,0
3232236405,3232236144,256,4,4,1,256,1,52707,7435,0
3232236402,3232236144,128,2,2,1,128,1,52707,1864,0
3232236405,3232236144,64,1,1,1,64,1,52707,54045,0
3232236405,3232236144,256,4,4,1,256,1,52707,15004,0
3232236403,3232236144,320,5,5,1,320,1,52707,2022,0
3232236405,3232236144,256,4,4,1,256,1,52707,7443,0
3232236405,3232236144,128,2,2,1,128,1,52707,587,0
3232236405,3232236144,192,3,3,1,192,1,52707,9500,0
3232236405,3232236144,192,3,3,1,192,1,52707,19350,0
3232236405,3232236144,856903,1220,1172,1,533376,1,1931,4444,0
3232236402,3232236144,256,4,4,1,256,1,52707,1089,0
3232236403,3232236144,256,4,4,1,256,1,52707,10010,0
3232236403,3232236144,256,4,4,1,256,1,52707,1026,0
3232236402,3232236144,128,2,2,1,128,1,52707,587,0
3232236403,3232236144,128,2,2,1,128,1,52707,1147,0
3232236405,3232236144,256,4,4,1,256,1,52707,497,0
3232236289,3232236144,0,0,3,1,192,1,52707,3261,0
